Date,Open,High,Low,Close,Adj Close,Volume
2013-09-13,339.375000,363.000000,336.112000,352.687988,271.981079,1102061
2013-09-16,362.774994,363.000000,344.100006,350.250000,270.101013,447464
2013-09-17,350.250000,359.399994,345.263000,356.662994,275.046478,322440
2013-09-18,353.399994,361.388000,353.399994,359.774994,277.446381,243124
2013-09-19,363.750000,374.250000,357.000000,370.312012,285.572174,610168
2013-09-20,369.750000,369.750000,344.250000,349.875000,269.811829,393777
2013-09-23,350.062012,365.250000,348.000000,360.299988,277.851135,365071
2013-09-24,361.424988,361.424988,348.075012,349.350006,269.406921,419275
2013-09-25,350.924988,354.975006,349.575012,352.763000,272.038971,984796
2013-09-26,353.250000,355.274994,335.475006,338.962006,261.396057,716117
2013-09-27,342.524994,346.500000,337.575012,340.725006,262.755646,460328
2013-09-30,337.274994,343.350006,326.250000,328.049988,252.981064,526085
2013-10-01,327.862000,337.013000,324.000000,335.924988,259.054016,410711
2013-10-03,335.924988,345.750000,333.112000,344.174988,265.416138,263965
2013-10-04,342.712006,348.000000,341.662994,345.825012,266.688568,302952
2013-10-07,348.674988,353.587006,337.500000,348.299988,268.597198,320761
2013-10-08,350.250000,353.737000,345.750000,346.687988,267.354065,278169
2013-10-09,346.500000,349.350006,342.562012,348.825012,269.002045,135803
2013-10-10,348.825012,351.375000,344.399994,346.687988,267.354065,452984
2013-10-11,348.750000,351.524994,342.750000,347.437988,267.932434,284788
2013-10-14,348.487000,350.924988,345.750000,347.962006,268.336578,166839
2013-10-15,348.000000,353.850006,342.412994,345.412994,266.370880,542975
2013-10-17,345.412994,348.750000,339.375000,340.799988,262.813477,293821
2013-10-18,342.750000,349.462006,342.750000,348.412994,268.684387,247855
2013-10-21,348.750000,353.924988,344.024994,351.638000,271.171356,152173
2013-10-22,351.638000,354.899994,345.862000,349.987000,269.898163,264580
2013-10-23,347.287994,352.125000,338.549988,343.237000,264.692841,626469
2013-10-24,343.500000,347.212006,339.000000,340.049988,262.235077,328113
2013-10-25,343.500000,345.037994,337.500000,340.987000,262.957672,363901
2013-10-28,341.250000,344.774994,333.825012,340.575012,262.639984,231396
2013-10-29,342.750000,351.975006,338.625000,344.962006,266.023041,344141
2013-10-30,345.149994,350.850006,340.462006,347.437988,267.932434,402628
2013-10-31,347.250000,360.750000,342.000000,355.388000,274.063232,629735
2013-11-01,352.575012,360.750000,348.375000,356.287994,274.757294,424121
2013-11-05,356.287994,357.674988,348.825012,352.013000,271.460510,253759
2013-11-06,352.013000,356.024994,346.987000,348.263000,268.568634,339283
2013-11-07,349.500000,354.000000,345.787994,348.899994,269.059937,483201
2013-11-08,348.750000,348.750000,343.125000,344.924988,265.994537,248445
2013-11-11,342.825012,346.500000,340.500000,341.812012,263.593842,191361
2013-11-12,342.750000,354.337006,342.075012,346.462006,267.179810,390884
2013-11-13,346.912994,348.712006,342.263000,344.100006,265.358337,351761
2013-11-14,345.225006,349.500000,344.174988,346.799988,267.440460,412555
2013-11-18,346.799988,348.750000,342.000000,346.537994,267.238434,271377
2013-11-19,345.750000,348.600006,345.000000,346.612000,267.295502,280105
2013-11-20,343.500000,346.162994,340.200012,341.100006,263.044830,232872
2013-11-21,339.187988,343.312012,336.825012,338.250000,260.846954,291841
2013-11-22,339.000000,341.212006,336.149994,337.500000,260.268585,1805873
2013-11-25,339.149994,344.325012,339.037994,343.388000,264.809265,425285
2013-11-26,343.500000,348.750000,342.112000,347.212006,267.758179,404519
2013-11-27,345.899994,356.625000,345.899994,354.899994,273.686890,598203
2013-11-28,359.700012,359.924988,356.250000,359.549988,277.272827,362369
2013-11-29,360.000000,365.625000,360.000000,362.362000,279.441315,700289
2013-12-02,360.000000,362.250000,347.325012,348.562012,268.799255,446055
2013-12-03,351.562012,355.799988,348.750000,352.237000,271.633301,420931
2013-12-04,354.750000,359.250000,352.575012,354.337006,273.252716,540300
2013-12-05,354.975006,356.250000,345.750000,346.424988,267.151245,418591
2013-12-06,346.424988,351.000000,345.187988,346.537994,267.238434,276953
2013-12-09,349.687988,362.625000,349.687988,360.712006,278.168945,635788
2013-12-10,354.000000,359.888000,354.000000,355.424988,274.091766,154047
